Ticker,Company,Date,Open,High,Low,Close,Volume,Daily_Return
CAT,Caterpillar Inc,2023-12-11,259.84,262.24,259.5,260.92,2898544.0,0.005472061657032734
CAT,Caterpillar Inc,2023-12-12,259.99,262.49,259.12,261.43,2375743.0,0.001954622106392634
CAT,Caterpillar Inc,2023-12-13,261.4,268.23,259.28,267.97,3708327.0,0.02501625674176644
CAT,Caterpillar Inc,2023-12-14,272.45,285.46,270.55,285.17,6464060.0,0.06418628951001981
CAT,Caterpillar Inc,2023-12-15,280.1,286.85,279.9799,285.74,7321193.0,0.0019988077287231842
CAT,Caterpillar Inc,2023-12-18,286.74,288.8763,284.57,285.71,2691728.0,-0.00010499055085055886
CAT,Caterpillar Inc,2023-12-19,286.8,293.03,286.16,292.96,3659607.0,0.025375380630709543
CAT,Caterpillar Inc,2023-12-20,291.93,298.27,289.52,289.71,3818414.0,-0.011093664664117986
CAT,Caterpillar Inc,2023-12-21,289.9,290.73,286.6,290.07,3209389.0,0.0012426219322771992
CAT,Caterpillar Inc,2023-12-22,290.31,292.83,288.91,290.36,2833962.0,0.000999758678939644
CAT,Caterpillar Inc,2023-12-26,291.59,297.0899,291.0001,295.63,2019046.0,0.01814988290398123
CAT,Caterpillar Inc,2023-12-27,295.63,299.15,294.73,298.12,1876485.0,0.008422690525318854
CAT,Caterpillar Inc,2023-12-28,297.1,299.2,296.04,296.88,2267452.0,-0.0041593988997719045
CAT,Caterpillar Inc,2023-12-29,296.85,298.235,293.2,295.67,2300643.0,-0.0040757208299648795
CAT,Caterpillar Inc,2024-01-02,293.43,296.64,291.35,292.71,2433125.0,-0.010011161091757814
CAT,Caterpillar Inc,2024-01-03,288.39,288.925,283.315,284.3,3043399.0,-0.028731509002083877
CAT,Caterpillar Inc,2024-01-04,284.41,288.22,283.79,286.1,2995437.0,0.006331340133661767
CAT,Caterpillar Inc,2024-01-05,286.25,291.0,285.47,288.93,2684787.0,0.009891646277525368
CAT,Caterpillar Inc,2024-01-08,287.56,292.68,285.24,292.25,2369129.0,0.011490672481223818
CAT,Caterpillar Inc,2024-01-09,289.23,292.36,288.0,292.29,1974507.0,0.00013686911890520292
CAT,Caterpillar Inc,2024-01-10,292.15,294.55,291.4612,293.35,2048021.0,0.0036265352902939973
CAT,Caterpillar Inc,2024-01-11,294.6,295.595,289.41,292.06,1941352.0,-0.004397477416056006
CAT,Caterpillar Inc,2024-01-12,295.27,295.83,288.93,290.41,1955694.0,-0.005649524070396428
CAT,Caterpillar Inc,2024-01-16,288.88,290.205,285.6,287.23,3140086.0,-0.01095003615577983
CAT,Caterpillar Inc,2024-01-17,278.83,282.02,276.94,278.63,3789153.0,-0.02994116213487452
CAT,Caterpillar Inc,2024-01-18,280.02,282.53,277.6601,281.9,2479261.0,0.011735993970498404
CAT,Caterpillar Inc,2024-01-19,282.32,286.08,278.95,285.28,3115987.0,0.011990067399787252
CAT,Caterpillar Inc,2024-01-22,286.1,290.59,286.1,288.67,2072329.0,0.011883062254627097
CAT,Caterpillar Inc,2024-01-23,290.5,292.88,287.52,288.83,1866294.0,0.0005542661170192531
CAT,Caterpillar Inc,2024-01-24,290.84,292.61,288.34,290.68,2765909.0,0.0064051518194094825
CAT,Caterpillar Inc,2024-01-25,294.0,303.31,293.13,300.77,4647055.0,0.034711710471996504
CAT,Caterpillar Inc,2024-01-26,301.0,302.98,298.66,299.43,2920474.0,-0.004455231572297658
CAT,Caterpillar Inc,2024-01-29,299.02,303.7,297.45,303.25,2101353.0,0.012757572721504129
CAT,Caterpillar Inc,2024-01-30,300.51,305.73,300.51,304.76,2150444.0,0.004979389942291856
CAT,Caterpillar Inc,2024-01-31,305.57,305.75,299.93,300.31,2812955.0,-0.014601653760335953
CAT,Caterpillar Inc,2024-02-01,303.24,308.07,301.94,307.69,3196264.0,0.024574606240218344
CAT,Caterpillar Inc,2024-02-02,307.0,317.37,305.995,315.09,4661484.0,0.024050180376352648
CAT,Caterpillar Inc,2024-02-05,334.87,334.87,315.91,321.4,6557542.0,0.020026024310514368
CAT,Caterpillar Inc,2024-02-06,323.19,327.43,319.07,322.72,2826394.0,0.004107031736154454
CAT,Caterpillar Inc,2024-02-07,322.94,327.82,321.1,323.59,3202982.0,0.002695835399107338
